Departure,Airport Name,City Name,Country Name,Lat,Long
KHCR,Heber Valley Airport,Heber,USA,40.482,-111.429
KHLN,Helena Regional Airport,Helena,USA,46.607,-111.983
KHXD,Hilton Head Airport,Hilton Head Island,USA,32.224,-80.698
KBIV,Tulip City Airport,Holland,USA,42.743,-86.107
KHEQ,Holyoke Airport,Holyoke,USA,40.569,-102.273
KDZB,Horseshoe Bay Resort Airpark,Horseshoe Bay,USA,30.527,-98.359
KHTL,Roscommon County - Blodgett Memorial Airport,Houghton Lake,USA,44.360,-84.671
KTME,Houston Executive Airport,Houston,USA,29.807,-95.898
KSGR,Sugar Land Regional Airport,Houston,USA,29.622,-95.657
KHOU,William P Hobby Airport,Houston,USA,29.645,-95.279
KHYA,Barnstable Municipal Boardman Polando Field,Hyannis,USA,41.669,-70.280
KTYQ,Indianapolis Executive Airport,Indianapolis,USA,40.031,-86.251
KIND,Indianapolis International Airport,Indianapolis,USA,39.717,-86.294
KMQJ,Indianapolis Regional Airport,Indianapolis,USA,39.843,-85.897
KHFY,Indy South Greenwood Airport,Indianapolis,USA,39.628,-86.088
KINL,Falls International Airport,International Falls,USA,48.566,-93.403
KINF,Inverness Airport,Inverness,USA,28.809,-82.316
KIMT,Ford Airport,Iron Mountain / Kingsford,USA,45.818,-88.115
KISP,Long Island Mac Arthur Airport,Islip,USA,40.795,-73.100
KJAC,Jackson Hole Airport,Jackson,USA,43.607,-110.738
KCRG,Jacksonville Executive At Craig Airport,Jacksonville,USA,30.336,-81.514
KJAX,Jacksonville International Airport,Jacksonville,USA,30.494,-81.688
KAIZ,Lee C Fine Memorial Airport,Kaiser Lake Ozark,USA,38.096,-92.549
KAZO,Kalamazoo Battle Creek International Airport,Kalamazoo,USA,42.235,-85.552
KMKC,Charles B. Wheeler Downtown Airport,Kansas City,USA,39.123,-94.593
KEEN,Dillant Hopkins Airport,Keene,USA,42.898,-72.271
KDPL,Duplin County Airport,Kenansville,USA,35.000,-77.982
KERV,Kerrville Municipal Louis Schreiner Field,Kerrville,USA,29.977,-99.086
07FA,Ocean Reef Club Airport,Key Largo,USA,25.325,-80.275
KEYW,Key West International Airport,Key West,USA,24.556,-81.759
KTYS,Mcghee Tyson Airport,Knoxville,USA,35.812,-83.993
KLCI,Laconia Municipal Airport,Laconia,USA,43.573,-71.419
KLAL,Lakeland Linder International Airport,Lakeland,USA,27.989,-82.019
KLHQ,Fairfield County Airport,Lancaster,USA,39.756,-82.657
KLAS,Mccarran International Airport,Las Vegas,USA,36.080,-115.152
KVGT,North Las Vegas Airport,Las Vegas,USA,36.211,-115.194
KLWC,Lawrence Municipal Airport,Lawrence,USA,39.011,-95.217
KLEB,Lebanon Municipal Airport,Lebanon,USA,43.626,-72.304
KLWB,Greenbrier Valley Airport,Lewisburg,USA,37.858,-80.399
KLWS,Lewiston Nez Perce County Airport,Lewiston,USA,46.375,-117.015
KLEX,Blue Grass Airport,Lexington,USA,38.036,-84.606
KLHM,Lincoln Regional Karl Harder Field,Lincoln,USA,38.909,-121.351
KLIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,USA,34.729,-92.224
KLGU,Logan-Cache Airport,Logan,USA,41.791,-111.852
KLOZ,London-Corbin Airport/Magee Field,London,USA,37.082,-84.085
KLGB,Long Beach /Daugherty Field/ Airport,Long Beach,USA,33.818,-118.151
KLAX,Los Angeles International Airport,Los Angeles,USA,33.942,-118.408
KLYH,Lynchburg Regional Preston Glenn Field,Lynchburg,USA,37.327,-79.200
KMCD,Mackinac Island Airport,Mackinac Island,USA,45.865,-84.637
KMQI,Dare County Regional Airport,Manteo,USA,35.919,-75.696
MYAM,Leonard M Thompson International Airport,Marsh Harbor,BAHAMAS,26.511,-77.083
KMVY,Martha'S Vineyard Airport,Martha'S Vineyard,USA,41.393,-70.614
KMTV,Blue Ridge Airport,Martinsville,USA,36.631,-80.018
KMFE,Mc Allen Miller International Airport,Mcallen,USA,26.176,-98.239
KMYL,Mccall Municipal Airport,Mccall,USA,44.890,-116.101
KMEM,Memphis International Airport,Memphis,USA,35.042,-89.977
KMIA,Miami International Airport,Miami,USA,25.793,-80.291
KOPF,Miami-Opa Locka Executive Airport,Miami,USA,25.907,-80.278
KMDD,Midland Airpark,Midland,USA,32.036,-102.101
KMAF,Midland International Airport,Midland,USA,31.942,-102.202
KJWY,Mid Way Regional Airport,Midlothian/Waxahachie,USA,32.456,-96.912
KMKE,General Mitchell International Airport,Milwaukee,USA,42.947,-87.896
KMEV,Minden-Tahoe Airport,Minden,USA,39.000,-119.751
KFCM,Flying Cloud Airport,Minneapolis,USA,44.827,-93.457
KMSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,USA,44.880,-93.217
CYUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,CANADA,45.468,-73.741
KMGW,Morgantown Municipal Walter L. Bill Hart Field,Morgantown,USA,39.643,-79.916
KMMU,Morristown Municipal Airport,Morristown,USA,40.799,-74.415
KCWA,Central Wisconsin Airport,Mosinee,USA,44.778,-89.667
KMPO,Pocono Mountains Municipal Airport,Mount Pocono,USA,41.138,-75.379
KNUQ,Moffett Federal Airfield,Mountain View,USA,37.415,-122.048
CYQA,Muskoka Airport,Muskoka,CANADA,44.975,-79.303
KMYR,Myrtle Beach International Airport,Myrtle Beach,USA,33.680,-78.928
KACK,Nantucket Memorial Airport,Nantucket,USA,41.253,-70.060
KAPC,Napa County Airport,Napa,USA,38.213,-122.281
KAPF,Naples Municipal Airport,Naples,USA,26.153,-81.775
KJWN,John C Tune Airport,Nashville,USA,36.182,-86.887
KBNA,Nashville International Airport,Nashville,USA,36.124,-86.678
MYNN,Lynden Pindling International Airport,Nassau,BAHAMAS,25.039,-77.466
KHEZ,Hardy-Anders Field / Natchez-Adams County Airport,Natchez,USA,31.614,-91.297
KEWB,New Bedford Regional Airport,New Bedford,USA,41.676,-70.957
KEWN,Coastal Carolina Regional Airport,New Bern,USA,35.073,-77.043
KNEW,Lakefront Airport,New Orleans,USA,30.042,-90.028
KMSY,Louis Armstrong New Orleans International Airport,New Orleans,USA,29.993,-90.258
KJFK,John F Kennedy International Airport,New York,USA,40.640,-73.779
KEWR,Newark Liberty International Airport,Newark,USA,40.692,-74.169
KPHF,Newport News Williamsburg International Airport,Newport News,USA,37.132,-76.493
KIAG,Niagara Falls International Airport,Niagara Falls,USA,43.107,-78.946
KPVG,Hampton Roads Executive Airport,Norfolk,USA,36.780,-76.449
KORF,Norfolk International Airport,Norfolk,USA,36.894,-76.201
KOUN,University Of Oklahoma Westheimer Airport,Norman,USA,35.246,-97.472
CYYB,North Bay Jack Garland Airport,North Bay,CANADA,46.364,-79.423
KOTH,Southwest Oregon Regional Airport,North Bend,USA,43.417,-124.246
MYEH,North Eleuthera Airport,North Eleuthera,BAHAMAS,25.476,-76.681
KOQU,Quonset State Airport,North Kingstown,USA,41.597,-71.412
KOWD,Norwood Memorial Airport,Norwood,USA,42.190,-71.173
KSUT,Brunswick County Airport,Oak Island,USA,33.929,-78.075
KOAK,Metropolitan Oakland International Airport,Oakland,USA,37.721,-122.221
KOCF,Ocala International Airport - Jim Taylor Field,Ocala,USA,29.173,-82.224
KOGS,Ogdensburg International Airport,Ogdensburg,USA,44.682,-75.466
KOKC,Will Rogers World Airport,Oklahoma City,USA,35.393,-97.601
KOMA,Eppley Airfield,Omaha,USA,41.302,-95.894
KISM,Kissimmee Gateway Airport,Orlando,USA,28.290,-81.437
KORL,Orlando Executive Airport,Orlando,USA,28.545,-81.333
CYOW,Ottawa Macdonald-Cartier International Airport,Ottawa,CANADA,45.323,-75.669
KOXR,Oxnard Airport,Oxnard,USA,34.201,-119.207
KPSP,Palm Springs International Airport,Palm Springs,USA,33.829,-116.507
KECP,Northwest Florida Beaches International Airport,Panama City Beach,USA,30.357,-85.795
CNK4,Parry Sound Area Municipal Airport,Parry Sound,USA,45.258,-79.830
KPLN,Pellston Regional Airport Of Emmet County Airport,Pellston,USA,45.571,-84.797
KCKZ,Pennridge Airport,Perkasie,USA,40.389,-75.290
KPNE,Northeast Philadelphia Airport,Philadelphia,USA,40.082,-75.011
KPHL,Philadelphia International Airport,Philadelphia,USA,39.872,-75.241
KPHX,Phoenix Sky Harbor International Airport,Phoenix,USA,33.434,-112.008
KIWA,Phoenix-Mesa-Gateway Airport,Phoenix,USA,33.308,-111.655
KLQK,Pickens County Airport,Pickens,USA,34.810,-82.703
KAGC,Allegheny County Airport,Pittsburgh,USA,40.354,-79.930
KPIT,Pittsburgh International Airport,Pittsburgh (Pennsylva),USA,40.491,-80.233
KPTK,Oakland County International Airport,Pontiac,USA,42.666,-83.420
KPDX,Portland International Airport,Portland,USA,45.589,-122.597
KPWM,Portland International Jetport,Portland,USA,43.646,-70.309
KPSM,Portsmouth International At Pease Airport,Portsmouth,USA,43.078,-70.823
KPVC,Provincetown Municipal Airport,Provincetown,USA,42.072,-70.221
